gameId,season_year,home_win,home_team,home_last_5_win_pct,home_offensive_average,home_defensive_average,home_last_5_point_diff,away_season_year,away_home_win,away_team,away_last_5_win_pct,away_offensive_average,away_defensive_average,away_last_5_point_diff,win_pct_diff,offense_diff,defense_diff,point_diff_diff
22000083,2021,0,Atlanta Hawks,,,,,2021,0,Cleveland Cavaliers,,,,,,,,
22000095,2021,0,Atlanta Hawks,,,,,2021,0,New York Knicks,,,,,,,,
22000110,2021,0,Atlanta Hawks,,,,,2021,0,Charlotte Hornets,,,,,,,,
22000153,2021,1,Atlanta Hawks,0.2,102.4,104.0,-1.6,2021,1,Philadelphia 76ers,0.6,119.6,117.2,2.4,-0.39999999999999997,-17.19999999999999,-13.200000000000003,-4.0
22000205,2021,1,Atlanta Hawks,0.2,101.8,107.4,-5.6,2021,1,Minnesota Timberwolves,0.2,111.6,117.8,-6.2,0.0,-9.799999999999997,-10.399999999999991,0.6000000000000005
22000219,2021,1,Atlanta Hawks,0.4,104.6,106.4,-1.8,2021,1,Detroit Pistons,0.4,104.8,104.8,0.0,0.0,-0.20000000000000284,1.6000000000000085,-1.8
22000268,2021,1,Atlanta Hawks,0.6,113.6,110.2,3.4,2021,1,Los Angeles Clippers,1.0,122.0,99.6,22.4,-0.4,-8.400000000000006,10.600000000000009,-19.0
22000274,2021,0,Atlanta Hawks,0.8,114.0,107.6,6.4,2021,0,Brooklyn Nets,0.6,119.8,120.8,-1.0,0.20000000000000007,-5.799999999999997,-13.200000000000003,7.4
22000313,2021,0,Atlanta Hawks,0.6,116.6,111.6,5.0,2021,0,Los Angeles Lakers,0.6,102.0,101.4,0.6,0.0,14.599999999999994,10.199999999999989,4.4
22000330,2021,0,Atlanta Hawks,0.4,113.2,113.4,-0.2,2021,0,Dallas Mavericks,0.0,106.2,114.6,-8.4,0.4,7.0,-1.1999999999999886,8.200000000000001
22000338,2021,0,Atlanta Hawks,0.4,113.4,112.0,1.4,2021,0,Utah Jazz,0.8,115.6,106.4,9.2,-0.4,-2.1999999999999886,5.599999999999994,-7.799999999999999
22000356,2021,1,Atlanta Hawks,0.2,110.0,114.6,-4.6,2021,1,Toronto Raptors,0.6,118.6,113.6,5.0,-0.39999999999999997,-8.599999999999994,1.0,-9.6
22000397,2021,0,Atlanta Hawks,0.2,111.0,116.0,-5.0,2021,0,San Antonio Spurs,0.6,104.0,112.2,-8.2,-0.39999999999999997,7.0,3.799999999999997,3.1999999999999993
22000407,2021,0,Atlanta Hawks,0.2,114.0,119.6,-5.6,2021,0,Indiana Pacers,0.2,104.6,109.2,-4.6,0.0,9.400000000000006,10.399999999999991,-1.0
22000470,2021,1,Atlanta Hawks,0.2,114.0,121.6,-7.6,2021,1,Denver Nuggets,0.6,113.2,109.0,4.2,-0.39999999999999997,0.7999999999999972,12.599999999999994,-11.8
22000490,2021,1,Atlanta Hawks,0.4,115.4,117.0,-1.6,2021,1,Boston Celtics,0.4,113.8,112.0,1.8,0.0,1.6000000000000085,5.0,-3.4000000000000004
22000590,2021,1,Atlanta Hawks,0.6,107.6,107.8,-0.2,2021,1,Sacramento Kings,0.6,120.6,116.4,4.2,0.0,-13.0,-8.600000000000009,-4.4
22000597,2021,1,Atlanta Hawks,0.8,110.0,105.4,4.6,2021,1,Cleveland Cavaliers,0.6,103.6,105.0,-1.4,0.20000000000000007,6.400000000000006,0.4000000000000057,6.0
22000626,2021,1,Atlanta Hawks,1.0,115.2,105.4,9.8,2021,1,Oklahoma City Thunder,0.6,110.0,114.8,-4.8,0.4,5.200000000000003,-9.399999999999991,14.600000000000001
22000759,2021,1,Atlanta Hawks,0.6,119.2,116.6,2.6,2021,1,Golden State Warriors,0.2,105.8,122.6,-16.8,0.39999999999999997,13.400000000000006,-6.0,19.400000000000002
22000770,2021,1,Atlanta Hawks,0.6,117.8,117.2,0.6,2021,1,New Orleans Pelicans,0.6,112.4,113.6,-1.2,0.0,5.3999999999999915,3.6000000000000085,1.7999999999999998
22000780,2021,0,Atlanta Hawks,0.8,122.0,113.4,8.6,2021,0,Memphis Grizzlies,0.8,117.4,108.2,9.2,0.0,4.599999999999994,5.200000000000003,-0.5999999999999996
22000791,2021,1,Atlanta Hawks,0.8,122.6,116.2,6.4,2021,1,Chicago Bulls,0.6,114.4,110.2,4.2,0.20000000000000007,8.199999999999989,6.0,2.2
22000840,2021,0,Atlanta Hawks,0.8,113.8,110.0,3.8,2021,0,Milwaukee Bucks,0.4,119.0,111.4,7.6,0.4,-5.200000000000003,-1.4000000000000057,-3.8
22000861,2021,1,Atlanta Hawks,0.6,111.0,112.6,-1.6,2021,1,Indiana Pacers,0.6,120.2,120.0,0.2,0.0,-9.200000000000003,-7.400000000000006,-1.8
